Student Id, Country code, enrolled year, Gender, Experienced, course code, engagement month, engagement year, engagement type
1           IN   2023  10 32FYJMC     60,00JANUARY   2023Lecture 9                     
1           IN   2023  10 32FYPYC     46,67APRIL     2024Lecture 7                     
2           AU   2024   6 61UYJMC     80,00SEPTEMBER 2024Lecture 12                    
2           AU   2024   6 61UYPYC     66,67FEBRUARY  2024Lecture 10                    
3           GB   2022   6 87FYJMC     60,00DECEMBER  2022Lecture 9                     
3           GB   2022   6 87FYPYC     86,67NOVEMBER  2024Lecture 13                    
4           US   2021  11 25UYJMC     93,33AUGUST    2021Lecture 14                    
4           US   2021  11 25UYPYC     33,33JUNE      2023Lecture 5                     
5           GB   2020   5 88MNJMC     33,33JULY      2024Lecture 5                     
5           GB   2020   5 88MNPYC     53,33OCTOBER   2021Lecture 8                     
6           IN   2016   7 49FNJMC     13,33AUGUST    2023Lecture 2                     
6           IN   2016   7 49FNPYC     46,67MAY       2024Lecture 7                     
7           IN   2017  10 52FNJMC     60,00JULY      2018Lecture 9                     
7           IN   2017  10 52FNPYC     93,33APRIL     2021Lecture 14                    
8           CN   2016   6 48FNJMC     80,00APRIL     2020Lecture 12                    
8           CN   2016   6 48FNPYC     93,33JULY      2020Lecture 14                    
9           US   2021   8 27UNJMC      6,67AUGUST    2023Lecture 1                     
9           US   2021   8 27UNPYC     66,67MAY       2021Lecture 10                    
10          CN   2024   8 89MYJMC     20,00NOVEMBER  2024Lecture 3                     
10          CN   2024   8 89MYPYC     33,33JANUARY   2024Lecture 5                     
11          AU   2022   3 41FYJMC     26,67JULY      2022Lecture 4                     
11          AU   2022   3 41FYPYC     40,00JUNE      2022Lecture 6                     
12          IN   2024   8 47MYJMC     80,00MARCH     2024Lecture 12                    
12          IN   2024   8 47MYPYC     86,67OCTOBER   2024Lecture 13                    
13          IN   2019   9 28MYJMC     20,00NOVEMBER  2021Lecture 3                     
13          IN   2019   9 28MYPYC     20,00JULY      2024Lecture 3                     
14          GB   2015   4 75UYJMC     13,33SEPTEMBER 2021Lecture 2                     
14          GB   2015   4 75UYPYC     33,33SEPTEMBER 2023Lecture 5                     
15          CN   2024   2 45MYJMC     20,00SEPTEMBER 2024Lecture 3                     
15          CN   2024   2 45MYPYC     66,67MAY       2024Lecture 10                    
16          IN   2024   4 86UNJMC     66,67JULY      2024Lecture 10                    
16          IN   2024   4 86UNPYC     53,33OCTOBER   2024Lecture 8                     
17          GB   2017   2 64MYJMC     73,33SEPTEMBER 2024Lecture 11                    
17          GB   2017   2 64MYPYC     46,67SEPTEMBER 2020Lecture 7                     
18          US   2017  11 28UNJMC     93,33JULY      2021Lecture 14                    
18          US   2017  11 28UNPYC     73,33JULY      2022Lecture 11                    
19          IN   2023   5 65UYJMC     93,33MAY       2024Lecture 14                    
19          IN   2023   5 65UYPYC     60,00OCTOBER   2023Lecture 9                     
20          AU   2016   9 71UNJMC     33,33MAY       2018Lecture 5                     
20          AU   2016   9 71UNPYC     53,33DECEMBER  2023Lecture 8                     
21          AU   2016   4 84UNJMC     93,33AUGUST    2018Lecture 14                    
21          AU   2016   4 84UNPYC     80,00MAY       2023Lecture 12                    
22          IN   2020   2 54MYJMC     40,00SEPTEMBER 2022Lecture 6                     
22          IN   2020   2 54MYPYC     60,00NOVEMBER  2020Lecture 9                     
23          CN   2017   4 88UNJMC     80,00JULY      2021Lecture 12                    
23          CN   2017   4 88UNPYC     66,67AUGUST    2020Lecture 10                    
24          GB   2016  12 39MYJMC      6,67MAY       2019Lecture 1                     
24          GB   2016  12 39MYPYC     86,67NOVEMBER  2024Lecture 13                    
25          US   2016  11 87UNJMC     46,67JULY      2019Lecture 7                     
25          US   2016  11 87UNPYC     13,33MAY       2023Lecture 2                     
